Name,Twitter-Handle,Party,Gender
Sigismondi Etelwardo,EtelSigismondi,Fratelli d'Italia,M
Silvestroni Marco,Silvestroninews,Fratelli d'Italia,M
Sisler Sandro,sandrosisler,Fratelli d'Italia,M
Speranzon Raffaele,RSperanzon,Fratelli d'Italia,M
Spineli Domenica,corianosindaco,Fratelli d'Italia,F
Terzi Di Sant'Agata Giuliomaria,GiulioTerzi,Fratelli d'Italia,M
Tubetti Francesca,FrancescaTubett,Fratelli d'Italia,F
Urso Adolfo,adolfo_urso,Fratelli d'Italia,M
Zaffini Francesco,FrancoZaffini,Fratelli d'Italia,M
Zedda Antonella,ZeddaAntonella,Fratelli d'Italia,F
Zullo Ignazio,Zullo_Ignazio,Fratelli d'Italia,M
Romeo Massimiliano,maxromeoMB,Lega,M
Borghesi Stefano,BorghesiStefano,Lega,M
Bergesio Giorgio Maria,GiorgioBergesio,Lega,M
